"unique.id","file.name","label","start.time","strain","rat.id","recording"
159,"T0000085","flat",51.243,"SD","SD22","MBT"
160,"T0000085","flat",51.9101,"SD","SD22","MBT"
161,"T0000085","flat",53.7415,"SD","SD22","MBT"
162,"T0000085","flat",53.9304,"SD","SD22","MBT"
163,"T0000085","flat",54.2929,"SD","SD22","MBT"
164,"T0000085","flat over flat",54.4942,"SD","SD22","MBT"
165,"T0000085","flat",54.702,"SD","SD22","MBT"
166,"T0000085","flat",54.9488,"SD","SD22","MBT"
167,"T0000085","flat",55.1582,"SD","SD22","MBT"
168,"T0000085","flat",56.2831,"SD","SD22","MBT"
169,"T0000085","flat",56.4725,"SD","SD22","MBT"
170,"T0000085","flat",57.1156,"SD","SD22","MBT"
171,"T0000085","flat",57.7407,"SD","SD22","MBT"
172,"T0000085","flat",57.9348,"SD","SD22","MBT"
173,"T0000085","flat",58.1473,"SD","SD22","MBT"
174,"T0000085","flat",59.4175,"SD","SD22","MBT"
175,"T0000085","short",59.627,"SD","SD22","MBT"
176,"T0000085","flat",60.5204,"SD","SD22","MBT"
177,"T0000085","flat",61.078,"SD","SD22","MBT"
178,"T0000085","flat",61.2746,"SD","SD22","MBT"
179,"T0000085","flat",61.5229,"SD","SD22","MBT"
180,"T0000085","flat-z",61.6857,"SD","SD22","MBT"
181,"T0000085","flat",62.1404,"SD","SD22","MBT"
182,"T0000085","flat",63.7916,"SD","SD22","MBT"
183,"T0000085","flat",64.2334,"SD","SD22","MBT"
184,"T0000085","flat",66.3091,"SD","SD22","MBT"
185,"T0000085","flat-z",66.8748,"SD","SD22","MBT"
186,"T0000085","flat",67.3894,"SD","SD22","MBT"
187,"T0000085","flat",67.673,"SD","SD22","MBT"
188,"T0000085","flat",67.9541,"SD","SD22","MBT"
189,"T0000085","flat",68.1763,"SD","SD22","MBT"
190,"T0000085","flat-z",68.42,"SD","SD22","MBT"
191,"T0000085","flat",71.0271,"SD","SD22","MBT"
192,"T0000085","flat",71.1408,"SD","SD22","MBT"
193,"T0000085","flat",71.6851,"SD","SD22","MBT"
194,"T0000085","flat",72.0983,"SD","SD22","MBT"
195,"T0000085","step up",72.4423,"SD","SD22","MBT"
196,"T0000085","flat",72.5452,"SD","SD22","MBT"
197,"T0000085","flat",73.0803,"SD","SD22","MBT"
198,"T0000085","flat",73.3199,"SD","SD22","MBT"
199,"T0000085","flat under short-ur",73.538,"SD","SD22","MBT"
